epoch,step,test_loss,train_loss,val_loss
0,49,,0.5442953109741211,
0,99,,0.5828960537910461,
0,149,,0.5986689329147339,
0,199,,0.5603172183036804,
0,249,,0.629991888999939,
0,299,,0.5752623081207275,
0,349,,0.5679633617401123,
0,399,,0.5730907917022705,
0,449,,0.6872639656066895,
0,499,,0.4997076690196991,
0,549,,0.6093382835388184,
0,599,,0.6242266893386841,
0,649,,0.6170588731765747,
0,699,,0.5384865999221802,
0,749,,0.5230599641799927,
0,799,,0.571698009967804,
0,849,,0.46539306640625,
0,899,,0.459672749042511,
0,949,,0.47779929637908936,
0,999,,0.47201836109161377,
0,1016,,,0.5608364343643188
1,1049,,0.4760423004627228,
1,1099,,0.572449803352356,
1,1149,,0.5298663377761841,
1,1199,,0.4892663359642029,
1,1249,,0.5131264925003052,
1,1299,,0.7043076753616333,
1,1349,,0.6097031831741333,
1,1399,,0.5067851543426514,
1,1449,,0.5225444436073303,
1,1499,,0.5903107523918152,
1,1549,,0.5317175388336182,
1,1599,,0.5003559589385986,
1,1649,,0.536423921585083,
1,1699,,0.6140164732933044,
1,1749,,0.5997895002365112,
1,1799,,0.5224032402038574,
1,1849,,0.5211508870124817,
1,1899,,0.5392077565193176,
1,1949,,0.6107642650604248,
1,1999,,0.4670093059539795,
1,2033,,,0.560340166091919
2,2049,,0.5428520441055298,
2,2099,,0.5900653600692749,
2,2149,,0.5405876040458679,
2,2199,,0.5541871786117554,
2,2249,,0.5213813781738281,
2,2299,,0.6049685478210449,
2,2349,,0.6017793416976929,
2,2399,,0.532874584197998,
2,2449,,0.518113911151886,
2,2499,,0.4951033294200897,
2,2549,,0.5961045026779175,
2,2599,,0.5319011211395264,
2,2649,,0.5256508588790894,
2,2699,,0.5705793499946594,
2,2749,,0.5801516771316528,
2,2799,,0.5489128232002258,
2,2849,,0.5419782400131226,
2,2899,,0.5653458833694458,
2,2949,,0.5569348335266113,
2,2999,,0.5729894638061523,
2,3049,,0.5122848749160767,
2,3050,,,0.5650534629821777
3,3099,,0.47225165367126465,
3,3149,,0.5533578395843506,
3,3199,,0.6129055023193359,
3,3249,,0.5671262145042419,
3,3299,,0.5642658472061157,
3,3349,,0.6132813692092896,
3,3399,,0.5099054574966431,
3,3449,,0.5670556426048279,
3,3499,,0.49732792377471924,
3,3549,,0.48342180252075195,
3,3599,,0.6927136182785034,
3,3649,,0.4712955355644226,
3,3699,,0.7264381051063538,
3,3749,,0.5190147757530212,
3,3799,,0.6101241111755371,
3,3849,,0.472028911113739,
3,3899,,0.47882938385009766,
3,3949,,0.5970555543899536,
3,3999,,0.6516133546829224,
3,4049,,0.6432897448539734,
3,4067,,,0.5614702701568604
4,4099,,0.5957927107810974,
4,4149,,0.6724869608879089,
4,4199,,0.5020435452461243,
4,4249,,0.47575175762176514,
4,4299,,0.5659503936767578,
4,4349,,0.6152658462524414,
4,4399,,0.5067564845085144,
4,4449,,0.5539309978485107,
4,4499,,0.5435578227043152,
4,4549,,0.497929185628891,
4,4599,,0.49954286217689514,
4,4649,,0.5730728507041931,
4,4699,,0.47408223152160645,
4,4749,,0.529789924621582,
4,4799,,0.5456039905548096,
4,4849,,0.5751882791519165,
4,4899,,0.516732931137085,
4,4949,,0.6053347587585449,
4,4999,,0.5449099540710449,
4,5049,,0.5956985950469971,
4,5084,,,0.5603273510932922
5,5099,,0.5264956951141357,
5,5149,,0.5598795413970947,
5,5199,,0.5753681659698486,
5,5249,,0.502477765083313,
5,5299,,0.5178231000900269,
5,5349,,0.5424070358276367,
5,5399,,0.6330785751342773,
5,5449,,0.4726458191871643,
5,5499,,0.5243374109268188,
5,5549,,0.5673515796661377,
